player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60,player_1_name,player_2_name,pair_name
2091,53,17,431,30,0.04,Daniel Santiago,Mario Elie,Daniel Santiago + Mario Elie
2130,406,19,430,29,0.04,Mike Penberthy,Shaquille O'Neal,Mike Penberthy + Shaquille O'Neal
15,400,18,422,29,0.04,Eric Piatkowski,Derek Strong,Eric Piatkowski + Derek Strong
1498,764,16,419,33,0.04,Antonio Daniels,David Robinson,Antonio Daniels + David Robinson
201,916,15,400,31,0.04,Chris Dudley,Corie Blount,Chris Dudley + Corie Blount
1023,442,15,397,26,0.04,Emanual Davis,Pervis Ellison,Emanual Davis + Pervis Ellison
468,98,14,373,23,0.04,Jon Barry,Nick Anderson,Jon Barry + Nick Anderson
1134,51,16,370,33,0.04,Ike Austin,Mahmoud Abdul-Rauf,Ike Austin + Mahmoud Abdul-Rauf
677,72,15,370,23,0.04,Eric Williams,Kenny Anderson,Eric Williams + Kenny Anderson
1683,754,14,366,29,0.04,Larry Robinson,Jim Jackson,Larry Robinson + Jim Jackson
386,448,14,355,24,0.04,Elliot Perry,Bo Outlaw,Elliot Perry + Bo Outlaw
2048,934,13,350,35,0.04,Jamaal Magloire,Derrick Coleman,Jamaal Magloire + Derrick Coleman
63,685,15,343,33,0.04,Michael Smith,Cherokee Parks,Michael Smith + Cherokee Parks
1073,417,12,328,15,0.04,Reggie Slater,Sam Mitchell,Reggie Slater + Sam Mitchell
176,739,12,321,17,0.04,Antonio Harvey,Rasheed Wallace,Antonio Harvey + Rasheed Wallace
1023,1742,13,303,29,0.04,Emanual Davis,Shammond Williams,Emanual Davis + Shammond Williams
1548,2040,12,285,23,0.04,Mark Blount,Jerome Moiso,Mark Blount + Jerome Moiso
317,935,10,284,28,0.04,John Starks,Bryon Russell,John Starks + Bryon Russell
179,72,11,271,30,0.04,Bryant Stith,Kenny Anderson,Bryant Stith + Kenny Anderson
1538,980,11,268,21,0.04,Cedric Henderson,Zydrunas Ilgauskas,Cedric Henderson + Zydrunas Ilgauskas
353,690,10,245,22,0.04,Darrell Armstrong,Don Reid,Darrell Armstrong + Don Reid
1720,255,9,216,15,0.04,Michael Doleac,Grant Hill,Michael Doleac + Grant Hill
2042,959,9,216,12,0.04,Courtney Alexander,Steve Nash,Courtney Alexander + Steve Nash
164,280,9,207,16,0.04,Chris Childs,Felton Spencer,Chris Childs + Felton Spencer
2040,958,8,205,18,0.04,Jerome Moiso,Vitaly Potapenko,Jerome Moiso + Vitaly Potapenko
1521,252,90,3538,232,0.03,Jacque Vaughn,Karl Malone,Jacque Vaughn + Karl Malone
252,304,100,3499,222,0.03,Karl Malone,John Stockton,Karl Malone + John Stockton
1890,361,83,3210,208,0.03,Shawn Marion,Clifford Robinson,Shawn Marion + Clifford Robinson
121,1740,90,2999,173,0.03,Patrick Ewing,Rashard Lewis,Patrick Ewing + Rashard Lewis
1713,2050,98,2818,198,0.03,Vince Carter,Morris Peterson,Vince Carter + Morris Peterson
1732,393,79,2810,190,0.03,Felipe Lopez,Rod Strickland,Felipe Lopez + Rod Strickland
275,369,93,2741,193,0.03,Allan Houston,Charlie Ward,Allan Houston + Charlie Ward
1751,393,78,2328,150,0.03,Jahidi White,Rod Strickland,Jahidi White + Rod Strickland
1498,1507,62,2316,159,0.03,Antonio Daniels,Derek Anderson,Antonio Daniels + Derek Anderson
2091,361,63,2284,139,0.03,Daniel Santiago,Clifford Robinson,Daniel Santiago + Clifford Robinson
1890,915,69,2244,179,0.03,Shawn Marion,Rodney Rogers,Shawn Marion + Rodney Rogers
1740,452,68,2150,130,0.03,Rashard Lewis,Vin Baker,Rashard Lewis + Vin Baker
1425,383,62,2136,151,0.03,Aaron Williams,Kendall Gill,Aaron Williams + Kendall Gill
121,452,70,2123,123,0.03,Patrick Ewing,Vin Baker,Patrick Ewing + Vin Baker
201,361,68,2032,143,0.03,Chris Dudley,Clifford Robinson,Chris Dudley + Clifford Robinson
278,757,62,2018,138,0.03,Stacey Augmon,Damon Stoudamire,Stacey Augmon + Damon Stoudamire
270,406,54,1989,101,0.03,Horace Grant,Shaquille O'Neal,Horace Grant + Shaquille O'Neal
